article,lvl2,main,up,location,href,meter_1,meter_2,pix_1,pix_2,name,in_rub,hronometraz,v_sutki,dney,anonce_code,anonce,money_rub_day,money_dol_day,sec_rub,sec_dol,area,diagonal,diag_in,pixels,diagonal_pixels,ppi,Pixel_Density,Plotn_Town,tchel_Town,km2_Town,scr_dol,Life_Time_Months,payback_Months,profit_Months,profit_Total,sum_1_m
Voronezh006,/voronezhskaya-oblast,Rossija,Voronezhskaja oblast',Voronezh,/voronezhskaya-oblast/voronezh/leninskiy-kulibina,3,6,576,288,Leninskij - Kulibina,60000,10,648,10,53477415,Tsifrovoj bilbord,6000.0,94.8,0.926,0.015,18.0,6.71,264.1,165888.0,643.99,2.44,9216.0,1491.48,889680,596.51,68159.25,694.44,23.97,670.48,1838681.5,3786.62
Voronezh007,/voronezhskaya-oblast,Rossija,Voronezhskaja oblast',Voronezh,/voronezhskaya-oblast/voronezh/ploshchad-chernyakhovskogo-privokzalnaya,3,6,576,288,Ploschad' Chernjahovskogo (Privokzal'naja),60000,10,648,7,53477415,Tsifrovoj bilbord,8571.43,135.43,1.323,0.021,18.0,6.71,264.1,165888.0,643.99,2.44,9216.0,1491.48,889680,596.51,68159.25,694.44,16.78,677.67,2685139.83,3786.62
Voronezh008,/voronezhskaya-oblast,Rossija,Voronezhskaja oblast',Voronezh,/voronezhskaya-oblast/voronezh/kirova-20-letiya-oktyabrya-trts-solnechnyy-ray,5.1,4.1,720,576,Kirova - 20-letija Oktjabrja (TRTs "Solnechnyj Raj"),16644,10,192,10,53477215,Svetodiodnyj ekran,1664.4,26.3,0.867,0.014,20.91,6.54,257.63,414720.0,922.05,3.58,19833.57,1491.48,889680,596.51,21354.34,694.44,27.07,667.38,505207.99,1021.25
Voronezh009,/voronezhskaya-oblast,Rossija,Voronezhskaja oblast',Voronezh,/voronezhskaya-oblast/voronezh/koltsovskaya-plekhanovskaya,5.1,3.9,720,576,Kol'tsovskaja - Plehanovskaja,16644,10,180,10,53477215,Svetodiodnyj ekran,1664.4,26.3,0.925,0.015,19.89,6.42,252.77,414720.0,922.05,3.65,20850.68,1491.48,889680,596.51,20312.66,694.44,25.74,668.7,507291.34,1021.25
Voronezh010,/voronezhskaya-oblast,Rossija,Voronezhskaja oblast',Voronezh,/voronezhskaya-oblast/voronezh/moskovskiy-truda,5.1,4.1,720,576,Moskovskij - Truda,16644,10,204,10,53477215,Svetodiodnyj ekran,1664.4,26.3,0.816,0.013,20.91,6.54,257.63,414720.0,922.05,3.58,19833.57,1491.48,889680,596.51,21354.34,694.44,27.07,667.38,505207.99,1021.25
Voronezh011,/voronezhskaya-oblast,Rossija,Voronezhskaja oblast',Voronezh,/voronezhskaya-oblast/voronezh/20-let-oktyabrya-94-voroshilova,3,6,720,360,20 let Oktjabrja; 94 - Voroshilova,15255,5,1728,7,53477415,Tsifrovoj bilbord,2179.29,34.43,0.252,0.004,18.0,6.71,264.1,259200.0,804.98,3.05,14400.0,1491.48,889680,596.51,18382.5,694.44,17.8,676.65,680526.67,1021.25
Voronezh012,/voronezhskaya-oblast,Rossija,Voronezhskaja oblast',Voronezh,/voronezhskaya-oblast/voronezh/koltsovskaya-9-yanvarya-trts-galereya-chizhova,3,6,720,360,Kol'tsovskaja - 9 Janvarja (TRTs "Galereja Chizhova"),15255,5,1728,7,53477415,Tsifrovoj bilbord,2179.29,34.43,0.252,0.004,18.0,6.71,264.1,259200.0,804.98,3.05,14400.0,1491.48,889680,596.51,18382.5,694.44,17.8,676.65,680526.67,1021.25
Voronezh013,/voronezhskaya-oblast,Rossija,Voronezhskaja oblast',Voronezh,/voronezhskaya-oblast/voronezh/koltsovskaya-82,3,6,720,360,Kol'tsovskaja; 82,15255,5,1728,7,53477415,Tsifrovoj bilbord,2179.29,34.43,0.252,0.004,18.0,6.71,264.1,259200.0,804.98,3.05,14400.0,1491.48,889680,596.51,18382.5,694.44,17.8,676.65,680526.67,1021.25
Voronezh014,/voronezhskaya-oblast,Rossija,Voronezhskaja oblast',Voronezh,/voronezhskaya-oblast/voronezh/plekhanovskaya-51-donbasskaya-moskovskiy,3,6,720,360,Plehanovskaja; 51 - Donbasskaja - Moskovskij,15255,5,1728,7,53477415,Tsifrovoj bilbord,2179.29,34.43,0.252,0.004,18.0,6.71,264.1,259200.0,804.98,3.05,14400.0,1491.48,889680,596.51,18382.5,694.44,17.8,676.65,680526.67,1021.25
Voronezh015,/voronezhskaya-oblast,Rossija,Voronezhskaja oblast',Voronezh,/voronezhskaya-oblast/voronezh/revolyutsii-fridrikha-engelsa-uritskogo,3,6,720,360,Revoljutsii - Fridriha Engel'sa - Uritskogo,15255,5,1728,7,53477415,Tsifrovoj bilbord,2179.29,34.43,0.252,0.004,18.0,6.71,264.1,259200.0,804.98,3.05,14400.0,1491.48,889680,596.51,18382.5,694.44,17.8,676.65,680526.67,1021.25
