option_code,name,base_local,n_level,level
Tekstil'schiki,186123615, Tekstil'schiki, Jugo-Vostochnyj AO,3,»»

Teplyj Stan,186144015, Teplyj Stan, Jugo-Zapadnyj AO,3,»»

Timirjazevskij,186125615, Timirjazevskij, Severnyj AO,3,»»

Tobol'sk,462692641, Tobol'sk, Tobol'sk,2,»

Troparevo-Nikulino,186145415, Troparevo-Nikulino, Zapadnyj AO,3,»»

Tushino Juzhnoe,186149015, Tushino Juzhnoe, Severo-Zapadnyj AO,3,»»

Tjumenskaja oblast',461332041,Tjumenskaja oblast',Tjumenskaja oblast',2,»

Tjumen',462344841, Tjumen', Tjumen',2,»

Uraj,517083241, Uraj, Uraj,2,»

Urjupinsk,30020615, Urjupinsk, Urjupinsk,2,»

Ufa,35467415, Ufa, Ufa,2,»

Fili-Davydkovo,186142815, Fili-Davydkovo, Zapadnyj AO,3,»»

Habarovsk,33593615, Habarovsk, Habarovsk,2,»

Habarovskij kraj,33593415,Habarovskij kraj,Habarovskij kraj,2,»

Hamovniki,186142215, Hamovniki, Tsentral'nyj AO,3,»»

Hanty-Mansijsk,466184241, Hanty-Mansijsk, Hanty-Mansijsk,2,»

Himki,186185815, Himki, Himki,2,»

Horoshevo-Mnevniki,186139415, Horoshevo-Mnevniki, Severo-Zapadnyj AO,3,»»

Horoshevskij,186150415, Horoshevskij, Severnyj AO,3,»»

Tsaritsyno,186109015, Tsaritsyno, Juzhnyj AO,3,»»

Tsentral'nyj AO,186531615, Tsentral'nyj AO, Tsentral'nyj AO,2,»

Cheboksary,68039415, Cheboksary, Cheboksary,2,»

Cheljabinsk,489826241, Cheljabinsk, Cheljabinsk,2,»

Cheljabinskaja oblast',487372841,Cheljabinskaja oblast',Cheljabinskaja oblast',2,»

Cheremushki,186145615, Cheremushki, Jugo-Zapadnyj AO,3,»»

Chuvashskaja Respublika,68039215,Chuvashskaja Respublika,Chuvashskaja Respublika,2,»

Schelkovo,190877415, Schelkovo, Schelkovo,2,»

Schukino,186147015, Schukino, Severo-Zapadnyj AO,3,»»

Engel's,348526815, Engel's, Engel's,2,»

Jugo-Vostochnyj AO,186533015, Jugo-Vostochnyj AO, Jugo-Vostochnyj AO,2,»

Jugo-Zapadnyj AO,186533615, Jugo-Zapadnyj AO, Jugo-Zapadnyj AO,2,»

Juzhnoportovyj,186115615, Juzhnoportovyj, Jugo-Vostochnyj AO,3,»»

Juzhnyj AO,186533215, Juzhnyj AO, Juzhnyj AO,2,»

Jurlovo,186186615, Jurlovo, Jurlovo,2,»

Jaroslavl',189621615, Jaroslavl', Jaroslavl',2,»

Jaroslavskaja oblast',189621215,Jaroslavskaja oblast',Jaroslavskaja oblast',2,»

