subiekt,plotn,tchel,km2,fo,nn,region
Rezh,,38709,,Ural'skij,802,Sverdlovskaja oblast',
Reutov,,87195,,Tsentral'nyj,803,Moskovskaja oblast',
Rzhev,,62026,,Tsentral'nyj,804,Tverskaja oblast',
Rodniki,,26318,,Tsentral'nyj,805,Ivanovskaja oblast',
Roslavl',,54898,,Tsentral'nyj,806,Smolenskaja oblast',
Rossosh',,62865,,Tsentral'nyj,807,Voronezhskaja oblast',
Rostov,,31791,,Tsentral'nyj,809,Jaroslavskaja oblast',
Rostov-na-Donu,,1091544,,Juzhnyj,808,Rostovskaja oblast',
Roshal',,21265,,Tsentral'nyj,810,Moskovskaja oblast',
Rtischevo,,41295,,Privolzhskij,811,Saratovskaja oblast',
Rubtsovsk,,146386,,Sibirskij,812,Altajskij kraj,
Rudnja,,10029,,Tsentral'nyj,813,Smolenskaja oblast',
Ruza,,13495,,Tsentral'nyj,814,Moskovskaja oblast',
Ruzaevka,,47529,,Privolzhskij,815,Mordovija,
Rybinsk,,200771,,Tsentral'nyj,816,Jaroslavskaja oblast',
Rybnoe,,18378,,Tsentral'nyj,817,Rjazanskaja oblast',
Ryl'sk,,15667,,Tsentral'nyj,818,Kurskaja oblast',
Rjazhsk,,21676,,Tsentral'nyj,819,Rjazanskaja oblast',
Rjazan',,525062,,Tsentral'nyj,820,Rjazanskaja oblast',
SakiOsparivaetsja,,25146,,Juzhnyj,821,Krym,
Salavat,,156085,,Privolzhskij,822,Bashkortostan,
Salair,,8263,,Sibirskij,823,Kemerovskaja oblast',
Salehard,,42494,,Ural'skij,824,Jamalo-Nenetskij AO,
Sal'sk,,61312,,Juzhnyj,825,Rostovskaja oblast',
Samara,,1164900,,Privolzhskij,826,Samarskaja oblast',
Sankt-Peterburg,,4848742,,Severo-Zapadnyj,827,Sankt-Peterburg,
Saransk,,318841,,Privolzhskij,828,Mordovija,
Sarapul,,101390,,Privolzhskij,829,Udmurtija,
Saratov,,836900,,Privolzhskij,830,Saratovskaja oblast',
Sarov,,92073,,Privolzhskij,831,Nizhegorodskaja oblast',
Sasovo,,28117,,Tsentral'nyj,832,Rjazanskaja oblast',
Satka,,45465,,Ural'skij,833,Cheljabinskaja oblast',
Safonovo,,46116,,Tsentral'nyj,834,Smolenskaja oblast',
Sajanogorsk,,49889,,Sibirskij,835,Hakasija,
Sajansk,,40786,,Sibirskij,836,Irkutskaja oblast',
Svetlogorsk,,10775,,Severo-Zapadnyj,837,Kaliningradskaja oblast',
Svetlograd,,38520,,Severo-Kavkazskij,838,Stavropol'skij kraj,
Svetlyj,,21380,,Severo-Zapadnyj,839,Kaliningradskaja oblast',
Svetogorsk,,15973,,Severo-Zapadnyj,840,Leningradskaja oblast',
Svirsk,,13649,,Sibirskij,841,Irkutskaja oblast',
Svobodnyj,,58594,,Dal'nevostochnyj,842,Amurskaja oblast',
Sebezh,,6375,,Severo-Zapadnyj,843,Pskovskaja oblast',
Sevastopol'Osparivaetsja,,393304,,Juzhnyj,844,Sevastopol',
Severo-Kuril'sk,,2381,,Dal'nevostochnyj,845,Sahalinskaja oblast',
Severobajkal'sk,,23673,,Sibirskij,846,Burjatija,
Severodvinsk,,192265,,Severo-Zapadnyj,847,Arhangel'skaja oblast',
Severomorsk,,50076,,Severo-Zapadnyj,848,Murmanskaja oblast',
Severoural'sk,,29279,,Ural'skij,849,Sverdlovskaja oblast',
Seversk,,108466,,Sibirskij,850,Tomskaja oblast',
Sevsk,,7282,,Tsentral'nyj,851,Brjanskaja oblast',
Segezha,,29660,,Severo-Zapadnyj,852,Karelija,
Sel'tso,,17933,,Tsentral'nyj,853,Brjanskaja oblast',
Semikarakorsk,,23884,,Juzhnyj,855,Rostovskaja oblast',
Semiluki,,26025,,Tsentral'nyj,856,Voronezhskaja oblast',
Semenov,,24472,,Privolzhskij,854,Nizhegorodskaja oblast',
Sengilej,,6959,,Privolzhskij,857,Ul'janovskaja oblast',
Serafimovich,,9368,,Juzhnyj,858,Volgogradskaja oblast',
Sergach,,21387,,Privolzhskij,859,Nizhegorodskaja oblast',
Sergiev Posad,,110878,,Tsentral'nyj,860,Moskovskaja oblast',
Serdobsk,,35393,,Privolzhskij,861,Penzenskaja oblast',
Serov,,99381,,Ural'skij,862,Sverdlovskaja oblast',
Serpuhov,,126496,,Tsentral'nyj,863,Moskovskaja oblast',
Sertolovo,,47854,,Severo-Zapadnyj,864,Leningradskaja oblast',
Sibaj,,62732,,Privolzhskij,865,Bashkortostan,
Sim,,14465,,Ural'skij,866,Cheljabinskaja oblast',
Simferopol'Osparivaetsja,,332317,,Juzhnyj,867,Krym,
Skovorodino,,9561,,Dal'nevostochnyj,868,Amurskaja oblast',
Skopin,,30374,,Tsentral'nyj,869,Rjazanskaja oblast',
Slavgorod,,30370,,Sibirskij,870,Altajskij kraj,
Slavsk,,4614,,Severo-Zapadnyj,871,Kaliningradskaja oblast',
Slavjansk-na-Kubani,,63768,,Juzhnyj,872,Krasnodarskij kraj,
Slantsy,,33587,,Severo-Zapadnyj,873,Leningradskaja oblast',
Slobodskoj,,33983,,Privolzhskij,874,Kirovskaja oblast',
Sljudjanka,,18542,,Sibirskij,875,Irkutskaja oblast',
Smolensk,,326863,,Tsentral'nyj,876,Smolenskaja oblast',
Snezhinsk,,48896,,Ural'skij,877,Cheljabinskaja oblast',
Snezhnogorsk,,12698,,Severo-Zapadnyj,878,Murmanskaja oblast',
Sobinka,,19482,,Tsentral'nyj,879,Vladimirskaja oblast',
Sovetsk,,7537,,Tsentral'nyj,882,Tul'skaja oblast',
Sovetskaja Gavan',,27712,,Dal'nevostochnyj,883,Habarovskij kraj,
Sovetskij,,26434,,Ural'skij,884,Hanty-Mansijskij AO - Jugra,
Sokol,,38454,,Severo-Zapadnyj,885,Vologodskaja oblast',
Soligalich,,6438,,Tsentral'nyj,886,Kostromskaja oblast',
Solikamsk,,97239,,Privolzhskij,887,Permskij kraj,
Solnechnogorsk,,52996,,Tsentral'nyj,888,Moskovskaja oblast',
Sol'-Iletsk,,26308,,Privolzhskij,889,Orenburgskaja oblast',
Sol'vychegodsk,,2460,,Severo-Zapadnyj,890,Arhangel'skaja oblast',
Sol'tsy,,10317,,Severo-Zapadnyj,891,Novgorodskaja oblast',
Sorochinsk,,30136,,Privolzhskij,892,Orenburgskaja oblast',
Sorsk,,12140,,Sibirskij,893,Hakasija,
Sortavala,,19215,,Severo-Zapadnyj,894,Karelija,
Sosenskij,,12394,,Tsentral'nyj,895,Kaluzhskaja oblast',
Sosnovka,,11960,,Privolzhskij,896,Kirovskaja oblast',
Sosnovoborsk,,33090,,Sibirskij,897,Krasnojarskij kraj,
Sosnovyj Bor,,65901,,Severo-Zapadnyj,898,Leningradskaja oblast',
Sosnogorsk,,27809,,Severo-Zapadnyj,899,Komi,
Sochi,,343285,,Juzhnyj,900,Krasnodarskij kraj,
Spas-Demensk,,4904,,Tsentral'nyj,901,Kaluzhskaja oblast',
Spas-Klepiki,,5917,,Tsentral'nyj,902,Rjazanskaja oblast',
Spassk,,7442,,Privolzhskij,903,Penzenskaja oblast',
Spassk-Dal'nij,,44166,,Dal'nevostochnyj,904,Primorskij kraj,
Spassk-Rjazanskij,,7745,,Tsentral'nyj,905,Rjazanskaja oblast',
Srednekolymsk,,3525,,Dal'nevostochnyj,906,Jakutija,
Sredneural'sk,,20357,,Ural'skij,907,Sverdlovskaja oblast',
Sretensk,,6850,,Sibirskij,908,Zabajkal'skij kraj,
Stavropol',,398266,,Severo-Kavkazskij,909,Stavropol'skij kraj,
Staraja Kupavna,,21859,,Tsentral'nyj,910,Moskovskaja oblast',
Staraja Russa,,32235,,Severo-Zapadnyj,911,Novgorodskaja oblast',
Staritsa,,8610,,Tsentral'nyj,912,Tverskaja oblast',
Starodub,,19010,,Tsentral'nyj,913,Brjanskaja oblast',
Staryj KrymOsparivaetsja,,9277,,Juzhnyj,914,Krym,
Staryj Oskol,,221163,,Tsentral'nyj,915,Belgorodskaja oblast',
Sterlitamak,,273432,,Privolzhskij,916,Bashkortostan,
Strezhevoj,,42216,,Sibirskij,917,Tomskaja oblast',
Stroitel',,23933,,Tsentral'nyj,918,Belgorodskaja oblast',
Strunino,,14372,,Tsentral'nyj,919,Vladimirskaja oblast',
Stupino,,66942,,Tsentral'nyj,920,Moskovskaja oblast',
Suvorov,,18975,,Tsentral'nyj,921,Tul'skaja oblast',
SudakOsparivaetsja,,16492,,Juzhnyj,922,Krym,
Sudzha,,6036,,Tsentral'nyj,923,Kurskaja oblast',
Sudogda,,11848,,Tsentral'nyj,924,Vladimirskaja oblast',
Suzdal',,10535,,Tsentral'nyj,925,Vladimirskaja oblast',
Sunzha,,64493,,Severo-Kavkazskij,926,Ingushetija,
Suojarvi,,9763,,Severo-Zapadnyj,927,Karelija,
Surazh,,11640,,Tsentral'nyj,928,Brjanskaja oblast',
Surgut,,306703,,Ural'skij,929,Hanty-Mansijskij AO - Jugra,
Surovikino,,20527,,Juzhnyj,930,Volgogradskaja oblast',
Sursk,,7032,,Privolzhskij,931,Penzenskaja oblast',
Susuman,,5865,,Dal'nevostochnyj,932,Magadanskaja oblast',
Suhinichi,,16295,,Tsentral'nyj,933,Kaluzhskaja oblast',
Suhoj Log,,34836,,Ural'skij,934,Sverdlovskaja oblast',
Syzran',,178773,,Privolzhskij,935,Samarskaja oblast',
Syktyvkar,,235006,,Severo-Zapadnyj,936,Komi,
Sysert',,20594,,Ural'skij,937,Sverdlovskaja oblast',
Sychevka,,8111,,Tsentral'nyj,938,Smolenskaja oblast',
Sjas'stroj,,13747,,Severo-Zapadnyj,939,Leningradskaja oblast',
Tavda,,35421,,Ural'skij,940,Sverdlovskaja oblast',
Taganrog,,257692,,Juzhnyj,941,Rostovskaja oblast',
Tajga,,25330,,Sibirskij,942,Kemerovskaja oblast',
Tajshet,,35481,,Sibirskij,943,Irkutskaja oblast',
Taldom,,13819,,Tsentral'nyj,944,Moskovskaja oblast',
Talitsa,,18339,,Ural'skij,945,Sverdlovskaja oblast',
Tambov,,280457,,Tsentral'nyj,946,Tambovskaja oblast',
Tara,,26664,,Sibirskij,947,Omskaja oblast',
Tarko-Sale,,20372,,Ural'skij,948,Jamalo-Nenetskij AO,
Tarusa,,9656,,Tsentral'nyj,949,Kaluzhskaja oblast',
Tatarsk,,26114,,Sibirskij,950,Novosibirskaja oblast',
Tashtagol,,23114,,Sibirskij,951,Kemerovskaja oblast',
Tver',,403726,,Tsentral'nyj,952,Tverskaja oblast',
Teberda,,9097,,Severo-Kavkazskij,953,Karachaevo-Cherkesija,
Tejkovo,,34993,,Tsentral'nyj,954,Ivanovskaja oblast',
Temnikov,,7247,,Privolzhskij,955,Mordovija,
Temrjuk,,38014,,Juzhnyj,956,Krasnodarskij kraj,
Terek,,19170,,Severo-Kavkazskij,957,Kabardino-Balkarija,
Tetjushi,,11596,,Privolzhskij,958,Tatarstan,
Timashevsk,,53921,,Juzhnyj,959,Krasnodarskij kraj,
Tihvin,,58843,,Severo-Zapadnyj,960,Leningradskaja oblast',
Tihoretsk,,61825,,Juzhnyj,961,Krasnodarskij kraj,
Tobol'sk,,99698,,Ural'skij,962,Tjumenskaja oblast',
Toguchin,,21531,,Sibirskij,963,Novosibirskaja oblast',
Tol'jatti,,719484,,Privolzhskij,964,Samarskaja oblast',
Tomari,,4537,,Dal'nevostochnyj,965,Sahalinskaja oblast',
Tommot,,8054,,Dal'nevostochnyj,966,Jakutija,
Tomsk,,522940,,Sibirskij,967,Tomskaja oblast',
Topki,,28642,,Sibirskij,968,Kemerovskaja oblast',
Torzhok,,47702,,Tsentral'nyj,969,Tverskaja oblast',
Toropets,,13018,,Tsentral'nyj,970,Tverskaja oblast',
Tosno,,39127,,Severo-Zapadnyj,971,Leningradskaja oblast',
Tot'ma,,9784,,Severo-Zapadnyj,972,Vologodskaja oblast',
Troitsk,,78637,,Ural'skij,974,Cheljabinskaja oblast',
Trubchevsk,,15014,,Tsentral'nyj,975,Brjanskaja oblast',
Trehgornyj,,33678,,Ural'skij,973,Cheljabinskaja oblast',
Tuapse,,63233,,Juzhnyj,976,Krasnodarskij kraj,
Tujmazy,,66849,,Privolzhskij,977,Bashkortostan,
Tula,,501129,,Tsentral'nyj,978,Tul'skaja oblast',
Tulun,,44603,,Sibirskij,979,Irkutskaja oblast',
Turan,,4988,,Sibirskij,980,Tyva,
Turinsk,,17990,,Ural'skij,981,Sverdlovskaja oblast',
Tutaev,,41001,,Tsentral'nyj,982,Jaroslavskaja oblast',
Tynda,,35574,,Dal'nevostochnyj,983,Amurskaja oblast',
Tyrnyauz,,21000,,Severo-Kavkazskij,984,Kabardino-Balkarija,
Tjukalinsk,,12050,,Sibirskij,985,Omskaja oblast',
Tjumen',,581758,,Ural'skij,986,Tjumenskaja oblast',
Uvarovo,,26829,,Tsentral'nyj,987,Tambovskaja oblast',
Uglegorsk,,11880,,Dal'nevostochnyj,988,Sahalinskaja oblast',
Uglich,,34505,,Tsentral'nyj,989,Jaroslavskaja oblast',
Udachnyj,,12611,,Dal'nevostochnyj,990,Jakutija,
Udomlja,,31048,,Tsentral'nyj,991,Tverskaja oblast',
Uzhur,,16079,,Sibirskij,992,Krasnojarskij kraj,
Uzlovaja,,55282,,Tsentral'nyj,993,Tul'skaja oblast',
Ulan-Ude,,431922,,Sibirskij,994,Burjatija,
Ul'janovsk,,613793,,Privolzhskij,995,Ul'janovskaja oblast',
Unecha,,26196,,Tsentral'nyj,996,Brjanskaja oblast',
Uraj,,39435,,Ural'skij,997,Hanty-Mansijskij AO - Jugra,
Uren',,12311,,Privolzhskij,998,Nizhegorodskaja oblast',
Urzhum,,10213,,Privolzhskij,999,Kirovskaja oblast',
Urus-Martan,,49071,,Severo-Kavkazskij,1000,Chechnja,
Urjupinsk,,41594,,Juzhnyj,1001,Volgogradskaja oblast',
Usinsk,,41100,,Severo-Zapadnyj,1002,Komi,
Usman',,18752,,Tsentral'nyj,1003,Lipetskaja oblast',
Usol'e,,5694,,Privolzhskij,1005,Permskij kraj,
Usol'e-Sibirskoe,,83364,,Sibirskij,1004,Irkutskaja oblast',
Ussurijsk,,157946,,Dal'nevostochnyj,1006,Primorskij kraj,
Ust'-Dzheguta,,30602,,Severo-Kavkazskij,1007,Karachaevo-Cherkesija,
Ust'-Ilimsk,,86591,,Sibirskij,1008,Irkutskaja oblast',
Ust'-Katav,,23586,,Ural'skij,1009,Cheljabinskaja oblast',
Ust'-Kut,,45061,,Sibirskij,1010,Irkutskaja oblast',
Ust'-Labinsk,,43268,,Juzhnyj,1011,Krasnodarskij kraj,
Ustjuzhna,,9478,,Severo-Zapadnyj,1012,Vologodskaja oblast',
Ufa,,1062300,,Privolzhskij,1013,Bashkortostan,
Uhta,,99642,,Severo-Zapadnyj,1014,Komi,
Uchaly,,37771,,Privolzhskij,1015,Bashkortostan,
Ujar,,12666,,Sibirskij,1016,Krasnojarskij kraj,
Fatezh,,5404,,Tsentral'nyj,1017,Kurskaja oblast',
FeodosijaOsparivaetsja,,69038,,Juzhnyj,1018,Krym,
Fokino,,23683,,Dal'nevostochnyj,1020,Primorskij kraj,
Frolovo,,39489,,Juzhnyj,1021,Volgogradskaja oblast',
Frjazino,,55449,,Tsentral'nyj,1022,Moskovskaja oblast',
Furmanov,,36149,,Tsentral'nyj,1023,Ivanovskaja oblast',
Habarovsk,,577668,,Dal'nevostochnyj,1024,Habarovskij kraj,
Hadyzhensk,,21580,,Juzhnyj,1025,Krasnodarskij kraj,
Hanty-Mansijsk,,79410,,Ural'skij,1026,Hanty-Mansijskij AO - Jugra,
Harabali,,18209,,Juzhnyj,1027,Astrahanskaja oblast',
Harovsk,,10078,,Severo-Zapadnyj,1028,Vologodskaja oblast',
Hasavjurt,,133929,,Severo-Kavkazskij,1029,Dagestan,
Hvalynsk,,13199,,Privolzhskij,1030,Saratovskaja oblast',
Hilok,,11530,,Sibirskij,1031,Zabajkal'skij kraj,
Himki,,207125,,Tsentral'nyj,1032,Moskovskaja oblast',
Holm,,3829,,Severo-Zapadnyj,1033,Novgorodskaja oblast',
Holmsk,,30936,,Dal'nevostochnyj,1034,Sahalinskaja oblast',
Hot'kovo,,21612,,Tsentral'nyj,1035,Moskovskaja oblast',
Tsivil'sk,,13478,,Privolzhskij,1036,Chuvashija,
Tsimljansk,,15029,,Juzhnyj,1037,Rostovskaja oblast',
Tsiolkovskij,,6208,,Dal'nevostochnyj,1038,Amurskaja oblast',
Chadan,,9037,,Sibirskij,1039,Tyva,
Chajkovskij,,82933,,Privolzhskij,1040,Permskij kraj,
Chapaevsk,,72689,,Privolzhskij,1041,Samarskaja oblast',
Chaplygin,,12656,,Tsentral'nyj,1042,Lipetskaja oblast',
Chebarkul',,43405,,Ural'skij,1043,Cheljabinskaja oblast',
Cheboksary,,447929,,Privolzhskij,1044,Chuvashija,
Chegem,,17988,,Severo-Kavkazskij,1045,Kabardino-Balkarija,
Chekalin,,994,,Tsentral'nyj,1046,Tul'skaja oblast',
Cheljabinsk,,1130273,,Ural'skij,1047,Cheljabinskaja oblast',
Cherdyn',,4920,,Privolzhskij,1048,Permskij kraj,
Cheremhovo,,52650,,Sibirskij,1049,Irkutskaja oblast',
Cherepanovo,,19346,,Sibirskij,1050,Novosibirskaja oblast',
Cherepovets,,312311,,Severo-Zapadnyj,1051,Vologodskaja oblast',
Cherkessk,,121439,,Severo-Kavkazskij,1052,Karachaevo-Cherkesija,
Chernogolovka,,20986,,Tsentral'nyj,1054,Moskovskaja oblast',
Chernogorsk,,72117,,Sibirskij,1055,Hakasija,
Chernushka,,33275,,Privolzhskij,1056,Permskij kraj,
Chernjahovsk,,40464,,Severo-Zapadnyj,1057,Kaliningradskaja oblast',
Chehov,,60677,,Tsentral'nyj,1058,Moskovskaja oblast',
Chistopol',,60703,,Privolzhskij,1059,Tatarstan,
Chita,,323964,,Sibirskij,1060,Zabajkal'skij kraj,
Chkalovsk,,12371,,Privolzhskij,1061,Nizhegorodskaja oblast',
Chudovo,,16148,,Severo-Zapadnyj,1062,Novgorodskaja oblast',
Chulym,,11964,,Sibirskij,1063,Novosibirskaja oblast',
Chusovoj,,46740,,Privolzhskij,1064,Permskij kraj,
Chuhloma,,5209,,Tsentral'nyj,1065,Kostromskaja oblast',
Chermoz,,4017,,Privolzhskij,1053,Permskij kraj,
Shagonar,,10958,,Sibirskij,1066,Tyva,
Shadrinsk,,77744,,Ural'skij,1067,Kurganskaja oblast',
Shali,,47715,,Severo-Kavkazskij,1068,Chechnja,
Sharypovo,,38570,,Sibirskij,1069,Krasnojarskij kraj,
Shar'ja,,23668,,Tsentral'nyj,1070,Kostromskaja oblast',
Shatura,,32836,,Tsentral'nyj,1071,Moskovskaja oblast',
Shahty,,240152,,Juzhnyj,1072,Rostovskaja oblast',
Shahun'ja,,21337,,Privolzhskij,1073,Nizhegorodskaja oblast',
Shatsk,,6562,,Tsentral'nyj,1074,Rjazanskaja oblast',
Shebekino,,44277,,Tsentral'nyj,1075,Belgorodskaja oblast',
Shelehov,,47960,,Sibirskij,1076,Irkutskaja oblast',
Shenkursk,,5702,,Severo-Zapadnyj,1077,Arhangel'skaja oblast',
Shilka,,13947,,Sibirskij,1078,Zabajkal'skij kraj,
Shimanovsk,,19815,,Dal'nevostochnyj,1079,Amurskaja oblast',
Shihany,,6067,,Privolzhskij,1080,Saratovskaja oblast',
Shlissel'burg,,13305,,Severo-Zapadnyj,1081,Leningradskaja oblast',
Shumerlja,,33412,,Privolzhskij,1082,Chuvashija,
Shumiha,,17821,,Ural'skij,1083,Kurganskaja oblast',
Shuja,,58528,,Tsentral'nyj,1084,Ivanovskaja oblast',
Schigry,,17043,,Tsentral'nyj,1088,Kurskaja oblast',
Schuch'e,,10971,,Ural'skij,1089,Kurganskaja oblast',
Schekino,,58154,,Tsentral'nyj,1085,Tul'skaja oblast',
SchelkinoOsparivaetsja,,10620,,Juzhnyj,1086,Krym,
Schelkovo,,110380,,Tsentral'nyj,1087,Moskovskaja oblast',
Elektrogorsk,,22120,,Tsentral'nyj,1090,Moskovskaja oblast',
Elektrostal',,155324,,Tsentral'nyj,1091,Moskovskaja oblast',
Elektrougli,,20120,,Tsentral'nyj,1092,Moskovskaja oblast',
Elista,,103728,,Juzhnyj,1093,Kalmykija,
Engel's,,202838,,Privolzhskij,1094,Saratovskaja oblast',
Ertil',,11387,,Tsentral'nyj,1095,Voronezhskaja oblast',
Jugorsk,,34066,,Ural'skij,1096,Hanty-Mansijskij AO - Jugra,
Juzha,,14170,,Tsentral'nyj,1097,Ivanovskaja oblast',
Juzhno-Sahalinsk,,181727,,Dal'nevostochnyj,1098,Sahalinskaja oblast',
Juzhno-Suhokumsk,,10048,,Severo-Kavkazskij,1099,Dagestan,
Juzhnoural'sk,,37890,,Ural'skij,1100,Cheljabinskaja oblast',
Jurga,,81536,,Sibirskij,1101,Kemerovskaja oblast',
Jur'ev-Pol'skij,,19588,,Tsentral'nyj,1102,Vladimirskaja oblast',
Jur'evets,,10205,,Tsentral'nyj,1103,Ivanovskaja oblast',
Jurjuzan',,12568,,Ural'skij,1104,Cheljabinskaja oblast',
Juhnov,,7056,,Tsentral'nyj,1105,Kaluzhskaja oblast',
Jadrin,,9614,,Privolzhskij,1106,Chuvashija,
Jakutsk,,269486,,Dal'nevostochnyj,1107,Jakutija,
JaltaOsparivaetsja,,76746,,Juzhnyj,1108,Krym,
Jalutorovsk,,36494,,Ural'skij,1109,Tjumenskaja oblast',
Janaul,,26988,,Privolzhskij,1110,Bashkortostan,
Jaransk,,17252,,Privolzhskij,1111,Kirovskaja oblast',
Jarovoe,,18085,,Sibirskij,1112,Altajskij kraj,
Jaroslavl',,591486,,Tsentral'nyj,1113,Jaroslavskaja oblast',
Jartsevo,,47853,,Tsentral'nyj,1114,Smolenskaja oblast',
Jasnogorsk,,16804,,Tsentral'nyj,1115,Tul'skaja oblast',
Jasnyj,,16082,,Privolzhskij,1116,Orenburgskaja oblast',
Jahroma,,13248,,Tsentral'nyj,1117,Moskovskaja oblast',
