subiekt,plotn,tchel,km2,fo,nn,region
Bilibino,,5504,,Dal'nevostochnyj,103,Chukotskij AO,
Birobidzhan,,75419,,Dal'nevostochnyj,104,Evrejskaja AO,
Birsk,,41637,,Privolzhskij,105,Bashkortostan,
Birjusinsk,,8981,,Sibirskij,106,Irkutskaja oblast',
Birjuch,,7842,,Tsentral'nyj,107,Belgorodskaja oblast',
Blagoveschensk,,214397,,Dal'nevostochnyj,109,Amurskaja oblast',
Blagodarnyj,,32736,,Severo-Kavkazskij,110,Stavropol'skij kraj,
Bobrov,,19738,,Tsentral'nyj,111,Voronezhskaja oblast',
Bogdanovich,,31752,,Ural'skij,112,Sverdlovskaja oblast',
Bogoroditsk,,31897,,Tsentral'nyj,113,Tul'skaja oblast',
Bogorodsk,,25497,,Privolzhskij,114,Nizhegorodskaja oblast',
Bogotol,,21029,,Sibirskij,115,Krasnojarskij kraj,
Boguchar,,11811,,Tsentral'nyj,116,Voronezhskaja oblast',
Bodajbo,,15331,,Sibirskij,117,Irkutskaja oblast',
Boksitogorsk,,16593,,Severo-Zapadnyj,118,Leningradskaja oblast',
Bolgar,,8650,,Privolzhskij,119,Tatarstan,
Bologoe,,23499,,Tsentral'nyj,120,Tverskaja oblast',
Bolotnoe,,16969,,Sibirskij,121,Novosibirskaja oblast',
Bolohovo,,9619,,Tsentral'nyj,122,Tul'skaja oblast',
Bolhov,,11421,,Tsentral'nyj,123,Orlovskaja oblast',
Bol'shoj Kamen',,39257,,Dal'nevostochnyj,124,Primorskij kraj,
Bor,,78079,,Privolzhskij,125,Nizhegorodskaja oblast',
Borzja,,31376,,Sibirskij,126,Zabajkal'skij kraj,
Borisoglebsk,,65585,,Tsentral'nyj,127,Voronezhskaja oblast',
Borovichi,,54731,,Severo-Zapadnyj,128,Novgorodskaja oblast',
Borovsk,,12283,,Tsentral'nyj,129,Kaluzhskaja oblast',
Borodino,,17423,,Sibirskij,130,Krasnojarskij kraj,
Bratsk,,246348,,Sibirskij,131,Irkutskaja oblast',
Bronnitsy,,21102,,Tsentral'nyj,132,Moskovskaja oblast',
Brjansk,,415640,,Tsentral'nyj,133,Brjanskaja oblast',
Bugul'ma,,89144,,Privolzhskij,134,Tatarstan,
Buguruslan,,52249,,Privolzhskij,135,Orenburgskaja oblast',
Budennovsk,,64628,,Severo-Kavkazskij,136,Stavropol'skij kraj,
Buzuluk,,82816,,Privolzhskij,137,Orenburgskaja oblast',
Buinsk,,20342,,Privolzhskij,138,Tatarstan,
Buj,,25763,,Tsentral'nyj,139,Kostromskaja oblast',
Bujnaksk,,65735,,Severo-Kavkazskij,140,Dagestan,
Buturlinovka,,27208,,Tsentral'nyj,141,Voronezhskaja oblast',
Valdaj,,16099,,Severo-Zapadnyj,142,Novgorodskaja oblast',
Valujki,,35322,,Tsentral'nyj,143,Belgorodskaja oblast',
Velizh,,7620,,Tsentral'nyj,144,Smolenskaja oblast',
Velikie Luki,,98778,,Severo-Zapadnyj,145,Pskovskaja oblast',
Velikij Novgorod,,218724,,Severo-Zapadnyj,146,Novgorodskaja oblast',
Velikij Ustjug,,31664,,Severo-Zapadnyj,147,Vologodskaja oblast',
Vel'sk,,23885,,Severo-Zapadnyj,148,Arhangel'skaja oblast',
Venev,,15220,,Tsentral'nyj,149,Tul'skaja oblast',
Vereschagino,,22760,,Privolzhskij,150,Permskij kraj,
Vereja,,5368,,Tsentral'nyj,151,Moskovskaja oblast',
Verhneural'sk,,9459,,Ural'skij,152,Cheljabinskaja oblast',
Verhnij Tagil,,11843,,Ural'skij,153,Sverdlovskaja oblast',
Verhnij Ufalej,,30504,,Ural'skij,154,Cheljabinskaja oblast',
Verhnjaja Pyshma,,58707,,Ural'skij,155,Sverdlovskaja oblast',
Verhnjaja Salda,,46240,,Ural'skij,156,Sverdlovskaja oblast',
Verhnjaja Tura,,9468,,Ural'skij,157,Sverdlovskaja oblast',
Verhotur'e,,8815,,Ural'skij,158,Sverdlovskaja oblast',
