article,lvl2,main,up,location,href,meter_1,meter_2,pix_1,pix_2,name,in_rub,hronometraz,v_sutki,dney,anonce_code,anonce
Ekaterinburg007,/sverdlovskaya-oblast,Rossija,Sverdlovskaja oblast',Ekaterinburg,/sverdlovskaya-oblast/yekaterinburg/kosmonavtov-ilicha-tts-omega,8.1,6.1,1024,768,Kosmonavtov - Il'icha (TTs "Omega"),20774,10,288,7,53477215,Svetodiodnyj ekran
Ekaterinburg008,/sverdlovskaya-oblast,Rossija,Sverdlovskaja oblast',Ekaterinburg,/sverdlovskaya-oblast/yekaterinburg/gotvalda-19-g,8.1,6.1,1024,768,Gotval'da; 19 G,20774,10,288,7,53477215,Svetodiodnyj ekran
Ekaterinburg009,/sverdlovskaya-oblast,Rossija,Sverdlovskaja oblast',Ekaterinburg,/sverdlovskaya-oblast/yekaterinburg/lenina-24-8-ploshchad-1905-goda,16.6,7.6,832,384,Lenina; 24/8 (Ploschad' 1905 goda),41400,10,144,7,53477215,Svetodiodnyj ekran
Ekaterinburg010,/sverdlovskaya-oblast,Rossija,Sverdlovskaja oblast',Ekaterinburg,/sverdlovskaya-oblast/yekaterinburg/malysheva-43-tts-ametist,8.1,4.6,512,288,Malysheva; 43 (TTs "Ametist"),21565,10,144,7,53477215,Svetodiodnyj ekran
Ekaterinburg012,/sverdlovskaya-oblast,Rossija,Sverdlovskaja oblast',Ekaterinburg,/sverdlovskaya-oblast/yekaterinburg/radishcheva-1-tts-mondial,7.2,4.6,448,288,Radischeva; 1 (TTs "Mondial"),21565,10,144,7,53477215,Svetodiodnyj ekran
Ekaterinburg013,/sverdlovskaya-oblast,Rossija,Sverdlovskaja oblast',Ekaterinburg,/sverdlovskaya-oblast/yekaterinburg/malysheva-5-trts-alatyr,6.4,4.8,384,240,Malysheva; 5 (TRTs "Alatyr'"),21565,10,144,7,53477215,Svetodiodnyj ekran
Ekaterinburg014,/sverdlovskaya-oblast,Rossija,Sverdlovskaja oblast',Ekaterinburg,/sverdlovskaya-oblast/yekaterinburg/amudsena-63-trts-granat,7.2,5.6,288,224,Amudsena; 63 (TRTs "Granat"),19642,10,96,7,53477215,Svetodiodnyj ekran
Ekaterinburg015,/sverdlovskaya-oblast,Rossija,Sverdlovskaja oblast',Ekaterinburg,/sverdlovskaya-oblast/yekaterinburg/8-marta-149-trts-megapolis,7.6,5.1,576,384,8 Marta; 149 (TRTs "Megapolis"),19642,10,96,7,53477215,Svetodiodnyj ekran
Ekaterinburg017,/sverdlovskaya-oblast,Rossija,Sverdlovskaja oblast',Ekaterinburg,/sverdlovskaya-oblast/yekaterinburg/malysheva-56a,5.6,4,448,320,Malysheva; 56A,21565,10,144,7,53477215,Svetodiodnyj ekran
Ekaterinburg018,/sverdlovskaya-oblast,Rossija,Sverdlovskaja oblast',Ekaterinburg,/sverdlovskaya-oblast/yekaterinburg/yasnaya-2-trts-fan-fan,8.2,6.15,512,384,Jasnaja; 2 (TRTs "Fan-Fan"),19642,10,96,7,53477215,Svetodiodnyj ekran
Ekaterinburg019,/sverdlovskaya-oblast,Rossija,Sverdlovskaja oblast',Ekaterinburg,/sverdlovskaya-oblast/yekaterinburg/shchorsa-29-tts-mars,5.7,4.3,384,288,Schorsa; 29 (TTs "Mars"),19642,10,84,7,53477215,Svetodiodnyj ekran
Ekaterinburg027,/sverdlovskaya-oblast,Rossija,Sverdlovskaja oblast',Ekaterinburg,/sverdlovskaya-oblast/yekaterinburg/luganskaya-23-storona-b,5,15,1152,384,Luganskaja; 23 (storona B),33603,7,1440,7,53477615,Tsifrovoj supersajt
Ekaterinburg028,/sverdlovskaya-oblast,Rossija,Sverdlovskaja oblast',Ekaterinburg,/sverdlovskaya-oblast/yekaterinburg/luganskaya-koltsovskiy-trakt-storona-a,5,15,1152,384,Luganskaja - Kol'tsovskij trakt (storona A),33603,7,1440,7,53477615,Tsifrovoj supersajt
Ekaterinburg029,/sverdlovskaya-oblast,Rossija,Sverdlovskaja oblast',Ekaterinburg,/sverdlovskaya-oblast/yekaterinburg/luganskaya-koltsovskiy-trakt-storona-b,5,15,1152,384,Luganskaja - Kol'tsovskij trakt (storona B),33603,7,1440,7,53477615,Tsifrovoj supersajt
