article,lvl2,main,up,location,href,meter_1,meter_2,pix_1,pix_2,name,in_rub,hronometraz,v_sutki,dney,anonce_code,anonce
Москва336,/moskovskaya-oblast/stupino,Россия,Московская область,Москва,/moskva/pristantsionnaya-6-storona-b,2.88,4.8,480,288,Пристанционная; 6 (сторона Б),10815,10,288,7,53477215,Светодиодный экран
Н.,/nizhegorodskaya-oblast/nizhniy-novgorod,Россия,Нижегородская область,Нижний Новгород,/nizhegorodskaya-oblast/nizhniy-novgorod/beketova-6a,6,3,1440,720,Бекетова; 6А,12331,5,720,7,53477415,Цифровой билборд
Н.Новгород001,/nizhegorodskaya-oblast/nizhniy-novgorod,Россия,Нижегородская область,Нижний Новгород,/nizhegorodskaya-oblast/nizhniy-novgorod/moskovskoye-shosse-4g-sormovskiy-povorot,6.14,4.7,720,540,Московское шоссе; 4Г (Сормовский поворот),20300,10,180,7,53477215,Светодиодный экран
Н.Новгород003,/nizhegorodskaya-oblast/nizhniy-novgorod,Россия,Нижегородская область,Нижний Новгород,/nizhegorodskaya-oblast/nizhniy-novgorod/ploshchad-revolyutsii-v-storonu-pl-lenina-storona-a,6,3.6,720,432,Площадь Революции; в сторону пл. Ленина (сторона А),14500,10,288,7,53477215,Светодиодный экран
Н.Новгород004,/nizhegorodskaya-oblast/nizhniy-novgorod,Россия,Нижегородская область,Нижний Новгород,/nizhegorodskaya-oblast/nizhniy-novgorod/ploshchad-revolyutsii-so-storony-pl-lenina-storona-b,6,3.6,720,432,Площадь Революции; со стороны пл. Ленина (сторона Б),14500,10,288,7,53477215,Светодиодный экран
Н.Новгород007,/nizhegorodskaya-oblast/nizhniy-novgorod,Россия,Нижегородская область,Нижний Новгород,/nizhegorodskaya-oblast/nizhniy-novgorod/vaneyeva-121-gostinitsa-sova,8,4,768,512,Надежды Сусловой 17а (Бринского),11667,10,180,7,53477215,Светодиодный экран
Н.Новгород009,/nizhegorodskaya-oblast/nizhniy-novgorod,Россия,Нижегородская область,Нижний Новгород,/nizhegorodskaya-oblast/nizhniy-novgorod/iyulskikh-dney-1,3.8,2.9,720,540,Июльских дней; 1,12113,10,180,7,53477215,Светодиодный экран
Н.Новгород010,/nizhegorodskaya-oblast/nizhniy-novgorod,Россия,Нижегородская область,Нижний Новгород,/nizhegorodskaya-oblast/nizhniy-novgorod/kominterna-105-tts-zolotaya-milya,8.16,6.24,720,550,Коминтерна; 105 (ТЦ "Золотая Миля"),15500,10,192,7,53477215,Светодиодный экран
Н.Новгород011,/nizhegorodskaya-oblast/nizhniy-novgorod,Россия,Нижегородская область,Нижний Новгород,/nizhegorodskaya-oblast/nizhniy-novgorod/larina-2a-myzinskiy-most,6.2,4.1,720,480,Ларина; 2А (Мызинский мост),12380,10,288,7,53477215,Светодиодный экран
Н.Новгород013,/nizhegorodskaya-oblast/nizhniy-novgorod,Россия,Нижегородская область,Нижний Новгород,/nizhegorodskaya-oblast/nizhniy-novgorod/rodionova-brinskogo,6,3.6,720,432,Родионова - Бринского,12380,10,192,7,53477215,Светодиодный экран
Н.Новгород015,/nizhegorodskaya-oblast/nizhniy-novgorod,Россия,Нижегородская область,Нижний Новгород,/nizhegorodskaya-oblast/nizhniy-novgorod/belinskogo-124-tts-shokolad,7.2,6,720,600,Белинского; 124 (ТЦ "Шоколад"),15500,10,192,7,53477215,Светодиодный экран
Н.Новгород017,/nizhegorodskaya-oblast/nizhniy-novgorod,Россия,Нижегородская область,Нижний Новгород,/nizhegorodskaya-oblast/nizhniy-novgorod/molodezhnyy-2a-tts-zvezda,6,4,720,540,Молодежный; 2А (ТЦ "Звезда"),11098,10,192,7,53477215,Светодиодный экран
Н.Новгород018,/nizhegorodskaya-oblast/nizhniy-novgorod,Россия,Нижегородская область,Нижний Новгород,/nizhegorodskaya-oblast/nizhniy-novgorod/lenina-109-bts-chayka,6.14,4.72,800,600,Ленина; 109 (БЦ "Чайка"),17851,10,180,7,53477215,Светодиодный экран
Н.Новгород019,/nizhegorodskaya-oblast/nizhniy-novgorod,Россия,Нижегородская область,Нижний Новгород,/nizhegorodskaya-oblast/nizhniy-novgorod/ploshchad-sovetskaya,6,3.6,720,432,Площадь Советская,15500,10,192,7,53477215,Светодиодный экран
Н.Новгород020,/nizhegorodskaya-oblast/nizhniy-novgorod,Россия,Нижегородская область,Нижний Новгород,/nizhegorodskaya-oblast/nizhniy-novgorod/geroyev-kinoteatr-moskva,6,3,720,360,Героев (кинотеатр "Москва"),15500,10,192,7,53477215,Светодиодный экран
Н.Новгород021,/nizhegorodskaya-oblast/nizhniy-novgorod,Россия,Нижегородская область,Нижний Новгород,/nizhegorodskaya-oblast/nizhniy-novgorod/rodionova-163a,6,3,720,360,Родионова; 163А,15500,10,192,7,53477215,Светодиодный экран
Н.Новгород022,/nizhegorodskaya-oblast/nizhniy-novgorod,Россия,Нижегородская область,Нижний Новгород,/nizhegorodskaya-oblast/nizhniy-novgorod/geroya-popova-35,6,3,720,360,Героя Попова; 35,15500,10,192,7,53477215,Светодиодный экран
Н.Новгород023,/nizhegorodskaya-oblast/nizhniy-novgorod,Россия,Нижегородская область,Нижний Новгород,/nizhegorodskaya-oblast/nizhniy-novgorod/kazanskoye-shosse-11-trk-indigo-life,13,8.5,540,336,Казанское шоссе; 11 (ТРК "Индиго Life"),54321,30,48,30,53477215,Светодиодный экран
Надым001,/tyumen-region/nadym,Россия,Тюменская область,Надым,/tyumen-region/nadym/zvereva-37a-tk-severnyy-gostinyy-dvor,3,4.6,192,288,Зверева; 37А (ТК "Северный гостиный двор"),10000,10,144,14,53477215,Светодиодный экран
Нижневартовск001,/tyumen-region,Россия,Тюменская область,Нижневартовск,/tyumen-region/nizhnevartovsk/lenina-zhukova,4,8,768,448,Ленина - Жукова,11655,10,288,7,53477215,Светодиодный экран
Нижневартовск002,/tyumen-region,Россия,Тюменская область,Нижневартовск,/tyumen-region/nizhnevartovsk/severnaya-internatsionalnaya,5,9,896,512,Северная - Интернациональная,10780,10,288,7,53477215,Светодиодный экран
Нижневартовск003,/tyumen-region,Россия,Тюменская область,Нижневартовск,/tyumen-region/nizhnevartovsk/lenina-15p-trts-yugra,8,5,768,448,Ленина; 15П (ТРЦ "ЮграМолл"),11250,10,240,7,53477215,Светодиодный экран
Нижневартовск006,/tyumen-region,Россия,Тюменская область,Нижневартовск,/tyumen-region/nizhnevartovsk/druzhby-narodov-lenina,3,6,768,352,Дружбы Народов; 25,10080,10,288,7,53477415,Цифровой билборд
Нижневартовск008,/tyumen-region,Россия,Тюменская область,Нижневартовск,/tyumen-region/nizhnevartovsk/lenina-7-dvorets-iskusstv,7,8,768,576,Ленина; 7 (Дворец искусств),10640,10,400,7,53477215,Светодиодный экран
Нижневартовск009,/tyumen-region,Россия,Тюменская область,Нижневартовск,/tyumen-region/nizhnevartovsk/mira-27zh,3,6,608,304,Мира; 27Ж,10731,10,864,14,53477215,Светодиодный экран
Новосибирск001,/novosibirskaya-oblast,Россия,Новосибирская область,Новосибирск,/novosibirskaya-oblast/novosibirsk/narymskaya-37-tts-kontinent-vkusa,3,4,512,384,Нарымская; 37 (ТЦ "Континент вкуса"),8820,10,288,7,53477215,Светодиодный экран
Новосибирск002,/novosibirskaya-oblast,Россия,Новосибирская область,Новосибирск,/novosibirskaya-oblast/novosibirsk/frunze-238-trts-sibirskiy-moll,3,4,512,384,Фрунзе; 238 (ТРЦ "Сибирский Молл"),8820,10,288,7,53477215,Светодиодный экран
Новосибирск003,/novosibirskaya-oblast,Россия,Новосибирская область,Новосибирск,/novosibirskaya-oblast/novosibirsk/ploshchad-marksa-trts-versal-vkhod-na-blyukhera,3,4,512,384,Площадь Маркса (ТРЦ "Версаль"; вход на Блюхера),8820,10,288,7,53477215,Светодиодный экран
Новосибирск004,/novosibirskaya-oblast,Россия,Новосибирская область,Новосибирск,/novosibirskaya-oblast/novosibirsk/ploshchad-marksa-trts-versal,3,4,512,384,Площадь Маркса (ТРЦ "Версаль"),8820,10,288,7,53477215,Светодиодный экран
Новосибирск005,/novosibirskaya-oblast,Россия,Новосибирская область,Новосибирск,/novosibirskaya-oblast/novosibirsk/vokzalnaya-magistral-1-otel-novosibirsk,3,4,512,384,Вокзальная магистраль; 1 (Отель "Новосибирск"),8820,10,288,7,53477215,Светодиодный экран
Новосибирск006,/novosibirskaya-oblast,Россия,Новосибирская область,Новосибирск,/novosibirskaya-oblast/novosibirsk/ploshchad-truda-pered-puteprovodom,3,6,1440,720,Площадь Труда (перед путепроводом),11788,5,1728,7,53477415,Цифровой билборд
Новосибирск007,/novosibirskaya-oblast,Россия,Новосибирская область,Новосибирск,/novosibirskaya-oblast/novosibirsk/bogdana-khmelnitskogo-65-1,3.6,2.7,1280,720,Богдана Хмельницкого; 65/1,11550,10,288,10,53477215,Светодиодный экран
Новосибирск008,/novosibirskaya-oblast,Россия,Новосибирская область,Новосибирск,/novosibirskaya-oblast/novosibirsk/krasnyy-157-1-ploshchad-kalinina,9,6,720,480,Красный; 157/1 (Площадь Калинина),18750,10,288,10,53477215,Светодиодный экран
Новосибирск011,/novosibirskaya-oblast,Россия,Новосибирская область,Новосибирск,/novosibirskaya-oblast/novosibirsk/ploshchad-garina-mikhaylovskogo-prigorodnyy-vokzal,4,5,448,336,Площадь Гарина - Михайловского (Пригородный вокзал),10631,10,192,7,53477215,Светодиодный экран
